% variance explained,predictors,conditions,patient,chanels,nature
-3.5569979056612904,envelope,3l,p01,p01_A_3_4,real
-2.15534332758698,envelope,3l,p01,p01_A_4_5,real
2.5499734481794,envelope,3l,p01,p01_A_9_10,real
0.79308936837743,envelope,3l,p01,p01_A_10_11,real
8.17437159159914,envelope,3l,p01,p01_B_1_2,real
7.2344391558871,envelope,3l,p01,p01_B_2_3,real
5.43451028752781,envelope,3l,p01,p01_B_3_4,real
6.63333852599157,envelope,3l,p01,p01_B_4_5,real
4.61259645825677,envelope,3l,p01,p01_B_5_6,real
7.19658758873078,envelope,3l,p01,p01_GPH_7_8,real
12.31782790840608,envelope,3l,p01,p01_H_2_3,real
14.784801998706401,envelope,3l,p01,p01_H_8_9,real
15.24002624537324,envelope,3l,p01,p01_H_9_10,real
0.81262057612376,envelope,3l,p01,p01_H_10_11,real
7.62103409716695,envelope,3l,p01,p01_H_11_12,real
7.93065603326389,envelope,3l,p01,p01_H_12_13,real
3.78349469891741,envelope,3l,p01,p01_H_13_14,real
17.18669474887443,envelope,3l,p01,p01_OF_6_7,real
6.12734153929754,envelope,3l,p01,p01_T_1_2,real
12.84164104551839,envelope,3l,p01,p01_T_2_3,real
16.17377076109821,envelope,3l,p01,p01_T_3_4,real
28.99434303644991,envelope,3l,p01,p01_T_4_5,real
34.93799536260648,envelope,3l,p01,p01_T_5_6,real
13.33951248920864,envelope,3l,p01,p01_T_6_7,real
24.05686250010364,envelope,3l,p01,p01_T_7_8,real
3.8627417287973898,envelope,3l,p01,p01_TB_3_4,real
6.82657476131727,envelope,3l,p01,p01_TB_4_5,real
8.05981942523923,envelope,3l,p01,p01_TB_5_6,real
1.02665961847392,envelope,3l,p01,p01_TB_11_12,real
4.30474086703315,envelope,3m,p01,p01_A_3_4,real
3.80391528424978,envelope,3m,p01,p01_A_4_5,real
3.02002019107924,envelope,3m,p01,p01_A_9_10,real
3.69446621247657,envelope,3m,p01,p01_A_10_11,real
6.8645885510005495,envelope,3m,p01,p01_B_1_2,real
5.52400906889088,envelope,3m,p01,p01_B_2_3,real
4.28612942525762,envelope,3m,p01,p01_B_3_4,real
1.13748292251525,envelope,3m,p01,p01_B_4_5,real
0.61170648638246,envelope,3m,p01,p01_B_5_6,real
-4.9125466143337,envelope,3m,p01,p01_GPH_7_8,real
8.932229773017939,envelope,3m,p01,p01_H_2_3,real
-13.31456490659659,envelope,3m,p01,p01_H_8_9,real
8.684801153548099,envelope,3m,p01,p01_H_9_10,real
-3.7511657081484397,envelope,3m,p01,p01_H_10_11,real
14.27931025207729,envelope,3m,p01,p01_H_11_12,real
18.04668235134441,envelope,3m,p01,p01_H_12_13,real
0.7026082116486,envelope,3m,p01,p01_H_13_14,real
12.646623242183491,envelope,3m,p01,p01_OF_6_7,real
-12.15455094702326,envelope,3m,p01,p01_T_1_2,real
16.923579821538052,envelope,3m,p01,p01_T_2_3,real
12.18593053448365,envelope,3m,p01,p01_T_3_4,real
23.47455422469536,envelope,3m,p01,p01_T_4_5,real
34.274974392670174,envelope,3m,p01,p01_T_5_6,real
21.99604593855275,envelope,3m,p01,p01_T_6_7,real
20.92597530330175,envelope,3m,p01,p01_T_7_8,real
-0.3313740016467,envelope,3m,p01,p01_TB_3_4,real
0.96182067319178,envelope,3m,p01,p01_TB_4_5,real
2.1455446525649102,envelope,3m,p01,p01_TB_5_6,real
-1.55101090465004,envelope,3m,p01,p01_TB_11_12,real
-3.60863933400419,envelope,3h,p01,p01_A_3_4,real
0.8728026084778999,envelope,3h,p01,p01_A_4_5,real
8.15116134106424,envelope,3h,p01,p01_A_9_10,real
6.42856292368825,envelope,3h,p01,p01_A_10_11,real
-0.9876034317539001,envelope,3h,p01,p01_B_1_2,real
-0.06897129420478,envelope,3h,p01,p01_B_2_3,real
-1.41344052912369,envelope,3h,p01,p01_B_3_4,real
1.66445818843292,envelope,3h,p01,p01_B_4_5,real
-0.66214268537498,envelope,3h,p01,p01_B_5_6,real
4.69302638402343,envelope,3h,p01,p01_GPH_7_8,real
1.8090120618425298,envelope,3h,p01,p01_H_2_3,real
14.17483966313462,envelope,3h,p01,p01_H_8_9,real
13.41344411087933,envelope,3h,p01,p01_H_9_10,real
-2.22036477718334,envelope,3h,p01,p01_H_10_11,real
11.2754200005258,envelope,3h,p01,p01_H_11_12,real
14.092150499630298,envelope,3h,p01,p01_H_12_13,real
4.133836320410101,envelope,3h,p01,p01_H_13_14,real
19.15682901798916,envelope,3h,p01,p01_OF_6_7,real
-3.25874200158129,envelope,3h,p01,p01_T_1_2,real
13.7317595678403,envelope,3h,p01,p01_T_2_3,real
18.33569554989401,envelope,3h,p01,p01_T_3_4,real
