% variance explained,predictors,conditions,patient,chanels,nature
2.0468306004915,spectralFlux,3l,p01,p01_A_3_4,real
5.38551788376617,spectralFlux,3l,p01,p01_A_4_5,real
1.8616059627336201,spectralFlux,3l,p01,p01_A_9_10,real
0.79135699941829,spectralFlux,3l,p01,p01_A_10_11,real
7.7541229359823705,spectralFlux,3l,p01,p01_B_1_2,real
5.82776685426919,spectralFlux,3l,p01,p01_B_2_3,real
6.34485964607782,spectralFlux,3l,p01,p01_B_3_4,real
4.65833276135516,spectralFlux,3l,p01,p01_B_4_5,real
5.42628581955156,spectralFlux,3l,p01,p01_B_5_6,real
1.23262997339179,spectralFlux,3l,p01,p01_GPH_7_8,real
12.14090408598654,spectralFlux,3l,p01,p01_H_2_3,real
-1.45094910409015,spectralFlux,3l,p01,p01_H_8_9,real
12.825619019354919,spectralFlux,3l,p01,p01_H_9_10,real
3.5555935717042604,spectralFlux,3l,p01,p01_H_10_11,real
3.5393602110512297,spectralFlux,3l,p01,p01_H_11_12,real
18.89576202857132,spectralFlux,3l,p01,p01_H_12_13,real
4.31874357583495,spectralFlux,3l,p01,p01_H_13_14,real
17.85976018427909,spectralFlux,3l,p01,p01_OF_6_7,real
5.45331683249414,spectralFlux,3l,p01,p01_T_1_2,real
22.78266167231481,spectralFlux,3l,p01,p01_T_2_3,real
17.99086023504633,spectralFlux,3l,p01,p01_T_3_4,real
17.08996832096794,spectralFlux,3l,p01,p01_T_4_5,real
24.33183831688609,spectralFlux,3l,p01,p01_T_5_6,real
10.02109921679929,spectralFlux,3l,p01,p01_T_6_7,real
22.53868147908009,spectralFlux,3l,p01,p01_T_7_8,real
5.79170017503172,spectralFlux,3l,p01,p01_TB_3_4,real
8.58947743512321,spectralFlux,3l,p01,p01_TB_4_5,real
4.48927933674479,spectralFlux,3l,p01,p01_TB_5_6,real
-2.58090951604976,spectralFlux,3l,p01,p01_TB_11_12,real
0.8161908280700001,spectralFlux,3m,p01,p01_A_3_4,real
-0.71503081362748,spectralFlux,3m,p01,p01_A_4_5,real
1.24237450762319,spectralFlux,3m,p01,p01_A_9_10,real
5.63514160982925,spectralFlux,3m,p01,p01_A_10_11,real
-1.1316540138553999,spectralFlux,3m,p01,p01_B_1_2,real
0.6578991866143701,spectralFlux,3m,p01,p01_B_2_3,real
-1.1732855310631098,spectralFlux,3m,p01,p01_B_3_4,real
6.07727250104805,spectralFlux,3m,p01,p01_B_4_5,real
4.42720639747249,spectralFlux,3m,p01,p01_B_5_6,real
-0.69698092501261,spectralFlux,3m,p01,p01_GPH_7_8,real
2.67157486153979,spectralFlux,3m,p01,p01_H_2_3,real
-8.37203511273564,spectralFlux,3m,p01,p01_H_8_9,real
11.05125143936603,spectralFlux,3m,p01,p01_H_9_10,real
4.31631648269774,spectralFlux,3m,p01,p01_H_10_11,real
12.21573315509277,spectralFlux,3m,p01,p01_H_11_12,real
25.449064070987948,spectralFlux,3m,p01,p01_H_12_13,real
0.79307185201315,spectralFlux,3m,p01,p01_H_13_14,real
20.99659391160824,spectralFlux,3m,p01,p01_OF_6_7,real
-2.03221688011794,spectralFlux,3m,p01,p01_T_1_2,real
19.00077059499008,spectralFlux,3m,p01,p01_T_2_3,real
18.34872247964254,spectralFlux,3m,p01,p01_T_3_4,real
9.01102060412652,spectralFlux,3m,p01,p01_T_4_5,real
15.26687272056633,spectralFlux,3m,p01,p01_T_5_6,real
11.60502267518957,spectralFlux,3m,p01,p01_T_6_7,real
17.58064242204523,spectralFlux,3m,p01,p01_T_7_8,real
-1.9728262474321598,spectralFlux,3m,p01,p01_TB_3_4,real
-5.247931330439299,spectralFlux,3m,p01,p01_TB_4_5,real
2.89836699303551,spectralFlux,3m,p01,p01_TB_5_6,real
3.78582112482636,spectralFlux,3m,p01,p01_TB_11_12,real
-1.72950894528392,spectralFlux,3h,p01,p01_A_3_4,real
-0.0018181009241960426,spectralFlux,3h,p01,p01_A_4_5,real
9.78559194969239,spectralFlux,3h,p01,p01_A_9_10,real
7.82832668457742,spectralFlux,3h,p01,p01_A_10_11,real
1.98062906512557,spectralFlux,3h,p01,p01_B_1_2,real
2.24436446933422,spectralFlux,3h,p01,p01_B_2_3,real
-2.63460408166898,spectralFlux,3h,p01,p01_B_3_4,real
5.3054453573296,spectralFlux,3h,p01,p01_B_4_5,real
-0.8415057421583201,spectralFlux,3h,p01,p01_B_5_6,real
8.91013669879172,spectralFlux,3h,p01,p01_GPH_7_8,real
-6.92510483833119,spectralFlux,3h,p01,p01_H_2_3,real
10.8547646611209,spectralFlux,3h,p01,p01_H_8_9,real
15.011552238442219,spectralFlux,3h,p01,p01_H_9_10,real
-2.15902253404601,spectralFlux,3h,p01,p01_H_10_11,real
11.04525229694328,spectralFlux,3h,p01,p01_H_11_12,real
20.538897889727302,spectralFlux,3h,p01,p01_H_12_13,real
4.07291384039817,spectralFlux,3h,p01,p01_H_13_14,real
27.659660641017542,spectralFlux,3h,p01,p01_OF_6_7,real
3.7935842206758497,spectralFlux,3h,p01,p01_T_1_2,real
14.87794718410383,spectralFlux,3h,p01,p01_T_2_3,real
18.217530024254412,spectralFlux,3h,p01,p01_T_3_4,real
20.89736678509862,spectralFlux,3h,p01,p01_T_4_5,real
22.46500629494508,spectralFlux,3h,p01,p01_T_5_6,real
13.00452206418925,spectralFlux,3h,p01,p01_T_6_7,real
23.01102181549275,spectralFlux,3h,p01,p01_T_7_8,real
3.6406816177908197,spectralFlux,3h,p01,p01_TB_3_4,real
4.2499011500041,spectralFlux,3h,p01,p01_TB_4_5,real
1.06869899014737,spectralFlux,3h,p01,p01_TB_5_6,real
-1.2519244894936599,spectralFlux,3h,p01,p01_TB_11_12,real
-6.6563665156923895,spectralFlux,6l,p01,p01_A_3_4,real
-12.60053066546451,spectralFlux,6l,p01,p01_A_4_5,real
-7.36240484432934,spectralFlux,6l,p01,p01_A_9_10,real
-11.39201672253974,spectralFlux,6l,p01,p01_A_10_11,real
-5.15068213888527,spectralFlux,6l,p01,p01_B_1_2,real
-4.33162062983712,spectralFlux,6l,p01,p01_B_2_3,real
-7.19517552069134,spectralFlux,6l,p01,p01_B_3_4,real
-4.72857625086038,spectralFlux,6l,p01,p01_B_4_5,real
-5.72470865235353,spectralFlux,6l,p01,p01_B_5_6,real
-2.71504541304117,spectralFlux,6l,p01,p01_GPH_7_8,real
7.098495077461781,spectralFlux,6l,p01,p01_H_2_3,real
2.16682168240016,spectralFlux,6l,p01,p01_H_8_9,real
17.30180980669112,spectralFlux,6l,p01,p01_H_9_10,real
9.91208596891742,spectralFlux,6l,p01,p01_H_10_11,real
19.17073372686934,spectralFlux,6l,p01,p01_H_11_12,real
34.26914659563309,spectralFlux,6l,p01,p01_H_12_13,real
-8.13532135505423,spectralFlux,6l,p01,p01_H_13_14,real
28.010737793328882,spectralFlux,6l,p01,p01_OF_6_7,real
-4.0881515651466795,spectralFlux,6l,p01,p01_T_1_2,real
5.8387162974853,spectralFlux,6l,p01,p01_T_2_3,real
10.506320920380439,spectralFlux,6l,p01,p01_T_3_4,real
13.537913642277799,spectralFlux,6l,p01,p01_T_4_5,real
11.78516347534276,spectralFlux,6l,p01,p01_T_5_6,real
10.72925153853185,spectralFlux,6l,p01,p01_T_6_7,real
20.11997237237684,spectralFlux,6l,p01,p01_T_7_8,real
4.69252352286893,spectralFlux,6l,p01,p01_TB_3_4,real
3.4208633611028905,spectralFlux,6l,p01,p01_TB_4_5,real
4.30750536759255,spectralFlux,6l,p01,p01_TB_5_6,real
-9.32020275499178,spectralFlux,6l,p01,p01_TB_11_12,real
-15.051028423305702,spectralFlux,6m,p01,p01_A_3_4,real
-13.049528279359029,spectralFlux,6m,p01,p01_A_4_5,real
0.5515769199258,spectralFlux,6m,p01,p01_A_9_10,real
2.10543197980092,spectralFlux,6m,p01,p01_A_10_11,real
-5.10918540281292,spectralFlux,6m,p01,p01_B_1_2,real
2.0452250295597203,spectralFlux,6m,p01,p01_B_2_3,real
-9.10213909950104,spectralFlux,6m,p01,p01_B_3_4,real
-7.58371092246723,spectralFlux,6m,p01,p01_B_4_5,real
-3.4491021741219097,spectralFlux,6m,p01,p01_B_5_6,real
1.47582917922014,spectralFlux,6m,p01,p01_GPH_7_8,real
